! CMS 13 TeV jets, 35.x fb-1
!
!
&Data
  Name = 'CMS inclusive jets 13 TeV, 1.5 < |y| < 2.0'
  Reaction = 'pp jets fastNLO'

  NDATA = 115
  NColumn = 73
  ColumnType = 'Flag', 'Bin', 'Bin', 'Bin', 'Bin', 'Sigma', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error'
  ColumnName = 'binFlag', 'ylow', 'yhigh', 'pTlow', 'pThigh', 'Sigma', 'stat', 'uncor', 'nperr+', 'nperr-', 'lumi', 'AbsoluteStat+', 'AbsoluteStat-', 'AbsoluteScale+', 'AbsoluteScale-', 'AbsoluteMPFBias+', 'AbsoluteMPFBias-', 'Fragmentation+', 'Fragmentation-', 'SinglePionECAL+', 'SinglePionECAL-', 'SinglePionHCAL+', 'SinglePionHCAL-', 'FlavorQCD+', 'FlavorQCD-', 'TimePtEta+', 'TimePtEta-', 'RelativeJEREC1+', 'RelativeJEREC1-', 'RelativeJEREC2+', 'RelativeJEREC2-', 'RelativeJERHF+', 'RelativeJERHF-', 'RelativePtBB+', 'RelativePtBB-', 'RelativePtEC1+', 'RelativePtEC1-', 'RelativePtEC2+', 'RelativePtEC2-', 'RelativePtHF+', 'RelativePtHF-', 'RelativeBal+', 'RelativeBal-', 'RelativeSample+', 'RelativeSample-', 'RelativeFSR+', 'RelativeFSR-', 'RelativeStatFSR+', 'RelativeStatFSR-', 'RelativeStatEC+', 'RelativeStatEC-', 'RelativeStatHF+', 'RelativeStatHF-', 'PileUpDataMC+', 'PileUpDataMC-', 'PileUpPtRef+', 'PileUpPtRef-', 'PileUpPtBB+', 'PileUpPtBB-', 'PileUpPtEC1+', 'PileUpPtEC1-', 'PileUpPtEC2+', 'PileUpPtEC2-', 'PileUpPtHF+', 'PileUpPtHF-', 'fake+', 'fake-', 'miss+', 'miss-', 'JER+', 'JER-', 'PUprof+', 'PUprof-'
  NInfo = 4
  DataInfo = 13000., 1., -1., -1.
  CInfo = 'sqrt(S)', 'PublicationUnits', 'MurDef', 'MufDef'

  IndexDataset = 304
  TheoryType = 'expression'
  TermName = 'F','kF','NP','EW'
  TermType = 'fastnlo','kfactor','kfactor','kfactor'
  TermSource = 'datafiles/lhc/cms/jets/13TeV/InclusiveNJets_fnl5362h_v23_fix.tab',
               'datafiles/lhc/cms/jets/13TeV/kFactor_ak4_nll.dat',
               'datafiles/lhc/cms/jets/13TeV/NP_ak4.dat',
               'datafiles/lhc/cms/jets/13TeV/EW_ak4.dat'
  TheorExpr = 'F*kF*NP*EW'
  Percent = 67*True
&End
&PlotDesc
   PlotN = 1
   PlotDefColumn = 'ylow'
   PlotDefValue  = 1.25, 1.75
   PlotVarColumn = 'pTlow'
   PlotOptions(1) = 'Experiment:CMS@Title: 1.5 < |y| < 2.0  @XTitle:P_{T} (GeV)@YTitle:#sigma_{jet}@Xmin:70@Xmax:3200.@Xlog@Ylog'
   PlotOptions(2) = 'Experiment:CMS@Title: 1.5 < |y| < 2.0  @XTitle:P_{T} (GeV)@YTitle:#sigma_{jet}@Xmin:70@Xmax:3200.@Xlog@Ylog@YminR:0.95@YmaxR:1.05'
&End
* 'Flag', 'ylow', 'yhigh', 'pTlow', 'pThigh', 'Sigma', 'stat', 'uncor', 'nperr+', 'nperr-', 'lumi', 'AbsoluteStat+', 'AbsoluteStat-', 'AbsoluteScale+', 'AbsoluteScale-', 'AbsoluteMPFBias+', 'AbsoluteMPFBias-', 'Fragmentation+', 'Fragmentation-', 'SinglePionECAL+', 'SinglePionECAL-', 'SinglePionHCAL+', 'SinglePionHCAL-', 'FlavorQCD+', 'FlavorQCD-', 'TimePtEta+', 'TimePtEta-', 'RelativeJEREC1+', 'RelativeJEREC1-', 'RelativeJEREC2+', 'RelativeJEREC2-', 'RelativeJERHF+', 'RelativeJERHF-', 'RelativePtBB+', 'RelativePtBB-', 'RelativePtEC1+', 'RelativePtEC1-', 'RelativePtEC2+', 'RelativePtEC2-', 'RelativePtHF+', 'RelativePtHF-', 'RelativeBal+', 'RelativeBal-', 'RelativeSample+', 'RelativeSample-', 'RelativeFSR+', 'RelativeFSR-', 'RelativeStatFSR+', 'RelativeStatFSR-', 'RelativeStatEC+', 'RelativeStatEC-', 'RelativeStatHF+', 'RelativeStatHF-', 'PileUpDataMC+', 'PileUpDataMC-', 'PileUpPtRef+', 'PileUpPtRef-', 'PileUpPtBB+', 'PileUpPtBB-', 'PileUpPtEC1+', 'PileUpPtEC1-', 'PileUpPtEC2+', 'PileUpPtEC2-', 'PileUpPtHF+', 'PileUpPtHF-', 'fake+', 'fake-', 'miss+', 'miss-', 'JER+', 'JER-', 'PUprof+', 'PUprof-'
* 
       0       0     0.5      56      74           0    0.00    1.00    0.10   -0.10    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       0     0.5      74      97           0    0.00    1.00    0.10   -0.10    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       0     0.5      97     133      8950.6    0.21    1.00    0.10   -0.20    2.60    0.00    0.00    0.61   -0.63    1.04   -1.04    0.26   -0.25   -0.38    0.37   -0.10    0.11    3.14   -3.06    1.28   -1.28    0.00    0.00    0.00    0.00    0.00    0.00   -0.14    0.14    0.00    0.00    0.00    0.00    0.00    0.00    0.63   -0.66    1.23   -1.21   -1.16    1.16    0.08   -0.07    0.00    0.00    0.00    0.00    0.65   -0.64    0.17   -0.17    0.03   -0.03    0.00    0.00    0.00    0.00    0.00    0.00   -2.75    2.75    2.85   -2.69    2.05   -1.61   -0.12    0.12
       0       0     0.5     133     174      2122.8    0.31    1.00    0.10   -0.10    2.60    0.00    0.00    0.71   -0.68    1.21   -1.10    0.14   -0.14   -0.14    0.15   -0.08    0.08    2.77   -2.64    1.69   -1.59    0.00    0.00    0.00    0.00    0.00    0.00   -0.03    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.76   -0.70    1.13   -1.04   -0.90    0.98    0.09   -0.08    0.00    0.00    0.00    0.00    0.54   -0.53    0.13   -0.13    0.17   -0.15    0.00    0.00    0.00    0.00    0.00    0.00    1.15   -1.15    0.14   -0.14    1.66   -1.02   -0.00    0.00
       0       0     0.5     174     220      600.99    0.24    1.00    0.10   -0.05    2.60    0.00    0.00    0.71   -0.67    1.17   -1.16    0.10   -0.10   -0.12    0.12   -0.01    0.00    2.32   -2.27    1.78   -1.77    0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.79   -0.78    0.92   -0.91   -0.74    0.77    0.07   -0.07    0.00    0.00    0.00    0.00    0.34   -0.34    0.11   -0.11    0.11   -0.10    0.00    0.00    0.00    0.00    0.00    0.00   -0.38    0.38    0.11   -0.11    0.78   -1.03   -0.01    0.01
       0       0     0.5     220     272      181.24    0.27    1.00    0.05   -0.10    2.60    0.00    0.00    0.77   -0.82    1.23   -1.30   -0.03    0.03    0.04   -0.04   -0.02    0.03    2.09   -2.12    2.00   -2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.17   -0.18    0.00    0.00    0.00    0.00    0.00    0.00    0.84   -0.89    0.84   -0.86   -0.61    0.59    0.11   -0.10    0.00    0.00    0.00    0.00    0.35   -0.36    0.06   -0.06    0.14   -0.12    0.00    0.00    0.00    0.00    0.00    0.00    0.06   -0.06    0.10   -0.10    0.89   -1.01   -0.00    0.00
       0       0     0.5     272     330      61.707    0.26    1.00    0.00   -0.00    2.60    0.00    0.00    0.72   -0.72    1.26   -1.15   -0.07    0.06    0.05   -0.07    0.02   -0.04    1.77   -1.68    2.10   -1.97    0.00    0.00    0.00    0.00    0.00    0.00    0.13   -0.12    0.00    0.00    0.00    0.00    0.00    0.00    0.85   -0.82    0.62   -0.61   -0.37    0.37    0.08   -0.09    0.00    0.00    0.00    0.00    0.26   -0.26   -0.01    0.01    0.08   -0.09    0.00    0.00    0.00    0.00    0.00    0.00   -0.10    0.10    0.12   -0.12    0.56   -0.68   -0.00    0.00
       0       0     0.5     330     395      21.853    0.20    1.00    0.00   -0.00    2.60    0.00    0.00    0.78   -0.80    1.28   -1.30   -0.11    0.11    0.11   -0.12    0.12   -0.12    1.55   -1.52    2.16   -2.22    0.00    0.00    0.00    0.00    0.00    0.00    0.26   -0.27    0.00    0.00    0.00    0.00    0.00    0.00    0.90   -0.94    0.51   -0.52   -0.23    0.18    0.11   -0.11    0.00    0.00    0.00    0.00    0.16   -0.17    0.05   -0.05    0.10   -0.09    0.00    0.00    0.00    0.00    0.00    0.00   -0.03    0.03    0.15   -0.15    0.68   -0.73   -0.00    0.00
       0       0     0.5     395     468      8.1687    0.17    1.00    0.00   -0.00    2.60    0.00    0.00    0.84   -0.79    1.37   -1.30   -0.15    0.17    0.17   -0.14    0.04   -0.03    1.32   -1.28    2.39   -2.19    0.00    0.00    0.00    0.00    0.00    0.00    0.29   -0.24    0.00    0.00    0.00    0.00    0.00    0.00    1.02   -0.94    0.47   -0.44    0.04    0.04    0.09   -0.07    0.00    0.00    0.00    0.00    0.24   -0.23   -0.06    0.07    0.06   -0.06    0.00    0.00    0.00    0.00    0.00    0.00   -0.05    0.05    0.19   -0.19    0.55   -0.55   -0.00    0.00
       0       0     0.5     468     548      3.2213    0.12    1.00   -0.10   -0.00    2.60    0.00    0.00    0.79   -0.87    1.31   -1.40   -0.26    0.26    0.20   -0.21    0.17   -0.16    1.07   -1.11    2.32   -2.44    0.00    0.00    0.00    0.00    0.00    0.00    0.40   -0.44    0.00    0.00    0.00    0.00    0.00    0.00    0.94   -1.01    0.31   -0.32    0.14   -0.20    0.10   -0.11    0.00    0.00    0.00    0.00    0.14   -0.14   -0.05    0.04    0.01   -0.01    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.24   -0.24    0.54   -0.52   -0.00    0.00
