! CMS 13 TeV jets, 35.x fb-1
!
!
&Data
  Name = 'CMS inclusive jets 13 TeV, 0.5 < |y| < 1.0'
  Reaction = 'pp jets fastNLO'

  NDATA = 115
  NColumn = 73
  ColumnType = 'Flag', 'Bin', 'Bin', 'Bin', 'Bin', 'Sigma', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error'
  ColumnName = 'binFlag', 'ylow', 'yhigh', 'pTlow', 'pThigh', 'Sigma', 'stat', 'uncor', 'nperr+', 'nperr-', 'lumi', 'AbsoluteStat+', 'AbsoluteStat-', 'AbsoluteScale+', 'AbsoluteScale-', 'AbsoluteMPFBias+', 'AbsoluteMPFBias-', 'Fragmentation+', 'Fragmentation-', 'SinglePionECAL+', 'SinglePionECAL-', 'SinglePionHCAL+', 'SinglePionHCAL-', 'FlavorQCD+', 'FlavorQCD-', 'TimePtEta+', 'TimePtEta-', 'RelativeJEREC1+', 'RelativeJEREC1-', 'RelativeJEREC2+', 'RelativeJEREC2-', 'RelativeJERHF+', 'RelativeJERHF-', 'RelativePtBB+', 'RelativePtBB-', 'RelativePtEC1+', 'RelativePtEC1-', 'RelativePtEC2+', 'RelativePtEC2-', 'RelativePtHF+', 'RelativePtHF-', 'RelativeBal+', 'RelativeBal-', 'RelativeSample+', 'RelativeSample-', 'RelativeFSR+', 'RelativeFSR-', 'RelativeStatFSR+', 'RelativeStatFSR-', 'RelativeStatEC+', 'RelativeStatEC-', 'RelativeStatHF+', 'RelativeStatHF-', 'PileUpDataMC+', 'PileUpDataMC-', 'PileUpPtRef+', 'PileUpPtRef-', 'PileUpPtBB+', 'PileUpPtBB-', 'PileUpPtEC1+', 'PileUpPtEC1-', 'PileUpPtEC2+', 'PileUpPtEC2-', 'PileUpPtHF+', 'PileUpPtHF-', 'fake+', 'fake-', 'miss+', 'miss-', 'JER+', 'JER-', 'PUprof+', 'PUprof-'
  NInfo = 4
  DataInfo = 13000., 1., -1., -1.
  CInfo = 'sqrt(S)', 'PublicationUnits', 'MurDef', 'MufDef'

  IndexDataset = 302
  TheoryType = 'expression'
  TermName = 'F','kF','NP','EW'
  TermType = 'fastnlo','kfactor','kfactor','kfactor'
  TermSource = 'datafiles/lhc/cms/jets/13TeV/InclusiveNJets_fnl5332h_v23_fix_ak7.tab',
               'datafiles/lhc/cms/jets/13TeV/kFactor_ak7_nnlo.dat',
               'datafiles/lhc/cms/jets/13TeV/NP_ak7.dat',
               'datafiles/lhc/cms/jets/13TeV/EW_ak7.dat'
  TheorExpr = 'F*kF*NP*EW'
  Percent = 67*True
&End
&PlotDesc
   PlotN = 1
   PlotDefColumn = 'ylow'
   PlotDefValue  = 0.25, 0.75
   PlotVarColumn = 'pTlow'
   PlotOptions(1) = 'Experiment:CMS@Title: 0.5 < |y| < 1.0  @XTitle:P_{T} (GeV)@YTitle:#sigma_{jet}@Xmin:70@Xmax:3200.@Xlog@Ylog'
   PlotOptions(2) = 'Experiment:CMS@Title: 0.5 < |y| < 1.0  @XTitle:P_{T} (GeV)@YTitle:#sigma_{jet}@Xmin:70@Xmax:3200.@Xlog@Ylog@YminR:0.95@YmaxR:1.05'
&End
* 'Flag', 'ylow', 'yhigh', 'pTlow', 'pThigh', 'Sigma', 'stat', 'uncor', 'nperr+', 'nperr-', 'lumi', 'AbsoluteStat+', 'AbsoluteStat-', 'AbsoluteScale+', 'AbsoluteScale-', 'AbsoluteMPFBias+', 'AbsoluteMPFBias-', 'Fragmentation+', 'Fragmentation-', 'SinglePionECAL+', 'SinglePionECAL-', 'SinglePionHCAL+', 'SinglePionHCAL-', 'FlavorQCD+', 'FlavorQCD-', 'TimePtEta+', 'TimePtEta-', 'RelativeJEREC1+', 'RelativeJEREC1-', 'RelativeJEREC2+', 'RelativeJEREC2-', 'RelativeJERHF+', 'RelativeJERHF-', 'RelativePtBB+', 'RelativePtBB-', 'RelativePtEC1+', 'RelativePtEC1-', 'RelativePtEC2+', 'RelativePtEC2-', 'RelativePtHF+', 'RelativePtHF-', 'RelativeBal+', 'RelativeBal-', 'RelativeSample+', 'RelativeSample-', 'RelativeFSR+', 'RelativeFSR-', 'RelativeStatFSR+', 'RelativeStatFSR-', 'RelativeStatEC+', 'RelativeStatEC-', 'RelativeStatHF+', 'RelativeStatHF-', 'PileUpDataMC+', 'PileUpDataMC-', 'PileUpPtRef+', 'PileUpPtRef-', 'PileUpPtBB+', 'PileUpPtBB-', 'PileUpPtEC1+', 'PileUpPtEC1-', 'PileUpPtEC2+', 'PileUpPtEC2-', 'PileUpPtHF+', 'PileUpPtHF-', 'fake+', 'fake-', 'miss+', 'miss-', 'JER+', 'JER-', 'PUprof+', 'PUprof-'
* 
       0       0     0.5      56      74           0    0.00    1.00    0.10   -0.10    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       0     0.5      74      97           0    0.00    1.00    0.10   -0.10    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       0     0.5      97     133       14425    0.34    1.00    0.10   -0.20    2.60    0.00    0.00    0.69   -0.69    1.15   -1.18    0.27   -0.28   -0.39    0.37   -0.09    0.12    3.38   -3.31    1.40   -1.49    0.00    0.00    0.00    0.00    0.00    0.00   -0.13    0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.73   -0.72    1.35   -1.35   -1.28    1.23    0.09   -0.07    0.00    0.00    0.00    0.00    0.67   -0.71    0.19   -0.18    0.05   -0.04    0.00    0.00    0.00    0.00    0.00    0.00   -3.50    3.50    2.78   -2.64    2.50   -2.75   -0.37    0.37
       0       0     0.5     133     174      3326.4    0.42    1.00    0.10   -0.10    2.60    0.00    0.00    0.80   -0.68    1.26   -1.12    0.18   -0.16   -0.15    0.18   -0.10    0.09    2.92   -2.79    1.82   -1.63    0.00    0.00    0.00    0.00    0.00    0.00   -0.03    0.04    0.00    0.00    0.00    0.00    0.00    0.00    0.83   -0.73    1.19   -1.04   -0.91    1.04    0.11   -0.10    0.00    0.00    0.00    0.00    0.60   -0.50    0.16   -0.13    0.17   -0.16    0.00    0.00    0.00    0.00    0.00    0.00    1.24   -1.24    0.19   -0.19    2.18   -2.11    0.09   -0.09
       0       0     0.5     174     220      896.03    0.30    1.00    0.10   -0.05    2.60    0.00    0.00    0.67   -0.83    1.16   -1.29    0.07   -0.09   -0.11    0.09    0.01   -0.01    2.35   -2.41    1.83   -1.94    0.00    0.00    0.00    0.00    0.00    0.00    0.01   -0.06    0.00    0.00    0.00    0.00    0.00    0.00    0.77   -0.90    0.87   -1.03   -0.85    0.74    0.06   -0.11    0.00    0.00    0.00    0.00    0.36   -0.45    0.08   -0.13    0.11   -0.15    0.00    0.00    0.00    0.00    0.00    0.00   -0.43    0.43    0.14   -0.14    0.90   -1.02   -0.04    0.04
       0       0     0.5     220     272      263.73    0.29    1.00    0.05   -0.10    2.60    0.00    0.00    0.77   -0.75    1.23   -1.25   -0.01    0.01    0.02   -0.01   -0.04    0.04    2.05   -2.11    1.95   -2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.14   -0.08    0.00    0.00    0.00    0.00    0.00    0.00    0.83   -0.80    0.84   -0.81   -0.58    0.56    0.08   -0.05    0.00    0.00    0.00    0.00    0.33   -0.29    0.05   -0.02    0.09   -0.08    0.00    0.00    0.00    0.00    0.00    0.00   -0.03    0.03    0.11   -0.11    0.67   -0.80   -0.00    0.00
       0       0     0.5     272     330       88.19    0.22    1.00    0.00   -0.00    2.60    0.00    0.00    0.79   -0.79    1.33   -1.29   -0.06    0.06    0.06   -0.06    0.03   -0.03    1.87   -1.79    2.20   -2.10    0.00    0.00    0.00    0.00    0.00    0.00    0.15   -0.16    0.00    0.00    0.00    0.00    0.00    0.00    0.92   -0.93    0.65   -0.64   -0.36    0.40    0.10   -0.09    0.00    0.00    0.00    0.00    0.28   -0.28   -0.01   -0.00    0.10   -0.10    0.00    0.00    0.00    0.00    0.00    0.00   -0.13    0.13    0.10   -0.10    0.55   -0.72   -0.02    0.02
       0       0     0.5     330     395      29.947    0.17    1.00    0.00   -0.00    2.60    0.00    0.00    0.85   -0.83    1.34   -1.39   -0.12    0.13    0.13   -0.12    0.12   -0.13    1.64   -1.64    2.37   -2.34    0.00    0.00    0.00    0.00    0.00    0.00    0.29   -0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.97   -0.97    0.57   -0.57   -0.22    0.19    0.10   -0.11    0.00    0.00    0.00    0.00    0.17   -0.18    0.05   -0.05    0.08   -0.09    0.00    0.00    0.00    0.00    0.00    0.00   -0.08    0.08    0.09   -0.09    0.56   -0.68   -0.01    0.01
       0       0     0.5     395     468      11.082    0.15    1.00    0.00   -0.00    2.60    0.00    0.00    0.77   -0.81    1.33   -1.29   -0.16    0.14    0.15   -0.16    0.03   -0.03    1.26   -1.25    2.27   -2.25    0.00    0.00    0.00    0.00    0.00    0.00    0.24   -0.26    0.00    0.00    0.00    0.00    0.00    0.00    0.94   -0.96    0.42   -0.43    0.01   -0.01    0.09   -0.09    0.00    0.00    0.00    0.00    0.24   -0.25   -0.08    0.07    0.07   -0.07    0.00    0.00    0.00    0.00    0.00    0.00   -0.09    0.09    0.08   -0.08    0.50   -0.56   -0.01    0.01
       0       0     0.5     468     548      4.2704    0.14    1.00   -0.10   -0.00    2.60    0.00    0.00    0.88   -0.82    1.42   -1.39   -0.27    0.28    0.22   -0.21    0.18   -0.17    1.13   -1.10    2.48   -2.43    0.00    0.00    0.00    0.00    0.00    0.00    0.45   -0.43    0.00    0.00    0.00    0.00    0.00    0.00    1.03   -0.98    0.34   -0.31    0.18   -0.16    0.10   -0.10    0.00    0.00    0.00    0.00    0.14   -0.13   -0.03    0.05    0.01   -0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.08    0.08    0.07   -0.07    0.45   -0.45   -0.00    0.00
